Player,Pos,Rank,Team,Projection,Tier
Jahmyr Gibbs,RB,1,DET,257.65,1
Bijan Robinson,RB,2,ATL,243.3,1
Ja'Marr Chase,WR,3,CIN,234.14,1
Puka Nacua,WR,4,LAR,236.31,1
Jaxon Smith-Njigba,WR,5,SEA,228.34,1
Amon-Ra St. Brown,WR,6,DET,218.05,1
Christian McCaffrey,RB,7,SF,224.93,2
Jonathan Taylor,RB,8,IND,222.03,2
CeeDee Lamb,WR,9,DAL,184.04,2
James Cook,RB,10,BUF,195.69,3
Justin Jefferson,WR,11,MIN,185.23,2
Chase Brown,RB,12,CIN,191.45,3
Drake London,WR,13,ATL,181.26,2
Saquon Barkley,RB,14,PHI,188.49,3
A.J. Brown,WR,15,NE,176.08,2
De'Von Achane,RB,16,MIA,197.73,3
Nico Collins,WR,17,HOU,170.25,2
Brock Bowers,TE,18,LV,163.76,1
Omarion Hampton,RB,19,LAC,176.54,3
Derrick Henry,RB,20,BAL,196.88,3
Kenneth Walker,RB,21,KC,178.88,3
Ashton Jeanty,RB,22,LV,178.21,3
George Pickens,WR,23,DAL,173.14,2
Chris Olave,WR,24,NO,172.66,2
Trey McBride,TE,25,ARI,162.15,1
Josh Allen,QB,26,BUF,312.32,1
Malik Nabers,WR,28,NYG,163.71,3
Rashee Rice,WR,29,KC,174.73,2
DeVonta Smith,WR,30,PHI,154.09,3
Zay Flowers,WR,31,BAL,157.29,3
Kyren Williams,RB,32,LAR,172.46,4
Tee Higgins,WR,33,CIN,148.02,3
Javonte Williams,RB,34,DAL,169.57,4
Tetairoa McMillan,WR,35,CAR,150.77,3
Breece Hall,RB,36,NYJ,169.89,4
Lamar Jackson,QB,37,BAL,273.67,2
Josh Jacobs,RB,38,GB,173.91,4
Garrett Wilson,WR,39,NYJ,149.87,3
Jaylen Waddle,WR,40,DEN,136.69,4
Ladd McConkey,WR,41,LAC,139.71,4
Colston Loveland,TE,42,CHI,138.52,2
Emeka Egbuka,WR,43,TB,144.35,3
Jeremiyah Love,RB,44,ARI,176.7,3
Drake Maye,QB,45,NE,269.67,2
Travis Etienne,RB,46,NO,163.64,4
Terry McLaurin,WR,47,WAS,137.39,4
Davante Adams,WR,48,LAR,140.61,4
D'Andre Swift,RB,49,CHI,158.25,4
Joe Burrow,QB,50,CIN,264.85,2
Luther Burden,WR,51,CHI,131.05,4
Cam Skattebo,RB,52,NYG,161.73,4
Tyler Warren,TE,53,IND,126.66,3
Jameson Williams,WR,54,DET,135.88,4
Bucky Irving,RB,55,TB,156.5,4
Quinshon Judkins,RB,56,CLE,152.9,4
David Montgomery,RB,57,HOU,142.41,5
DJ Moore,WR,58,BUF,129.23,4
Christian Watson,WR,59,GB,125.23,4
Jayden Daniels,QB,60,WAS,269.55,2
Mike Evans,WR,61,SF,125.62,4
Rome Odunze,WR,62,CHI,127.07,4
Jalen Hurts,QB,63,PHI,268.41,2
Bhayshul Tuten,RB,64,JAC,147.65,5
TreVeyon Henderson,RB,65,NE,134.57,5
Jadarian Price,RB,66,SEA,145.73,5
Caleb Williams,QB,67,CHI,254.2,3
Parker Washington,WR,68,JAC,115.65,5
Tucker Kraft,TE,69,GB,119.17,3
Justin Herbert,QB,70,LAC,253.21,3
Rhamondre Stevenson,RB,71,NE,130,5
Marvin Harrison,WR,72,ARI,120.34,5
Carnell Tate,WR,73,TEN,118.53,5
Jaylen Warren,RB,74,PIT,130.63,5
Trevor Lawrence,QB,75,JAC,257.08,3
Brian Thomas,WR,76,JAC,112.94,5
Dak Prescott,QB,77,DAL,255.08,3
DK Metcalf,WR,78,PIT,118.15,5
Tony Pollard,RB,79,TEN,130.08,5
Harold Fannin,TE,80,CLE,119.67,3
Sam LaPorta,TE,81,DET,117.41,3
Rico Dowdle,RB,82,PIT,126.03,6
Chris Godwin,WR,83,TB,105.09,5
Kyle Pitts,TE,84,ATL,117.11,3
Jonathon Brooks,RB,85,CAR,115.59,6
Courtland Sutton,WR,86,DEN,116.91,5
J.K. Dobbins,RB,87,DEN,123.51,6
Michael Pittman,WR,88,PIT,107.96,5
Michael Wilson,WR,89,ARI,106.18,5
Quentin Johnston,WR,90,LAC,104.97,5
Brock Purdy,QB,91,SF,255.78,3
Chuba Hubbard,RB,93,CAR,116.86,6
Blake Corum,RB,94,LAR,101.5,7
George Kittle,TE,95,SF,115.88,3
Josh Downs,WR,96,IND,97.04,6
Alec Pierce,WR,97,IND,116.68,5
Jaxson Dart,QB,98,NYG,255.86,3
Jacory Croskey-Merritt,RB,99,WAS,106.09,6
RJ Harvey,RB,100,DEN,106.89,6
Wan'Dale Robinson,WR,101,TEN,102.19,5
Stefon Diggs,WR,102,WAS,98.34,6
Bo Nix,QB,103,DEN,244,4
Patrick Mahomes,QB,104,KC,248.56,3
Travis Kelce,TE,105,KC,113.73,4
Jordan Addison,WR,106,MIN,103.51,5
Jordan Mason,RB,107,MIN,102.77,7
Jayden Reed,WR,108,GB,105.17,5
Kenny Gainwell,RB,109,TB,105.52,6
Matthew Stafford,QB,110,LAR,238.44,4
Kyle Monangai,RB,111,CHI,107.1,6
Jared Goff,QB,112,DET,232.45,4
Jakobi Meyers,WR,113,JAC,104.54,5
Rachaad White,RB,114,WAS,105.61,6
Dalton Kincaid,TE,115,BUF,105.33,4
Makai Lemon,WR,116,PHI,105.23,5
Aaron Jones,RB,117,MIN,103.3,7
Dallas Goedert,TE,118,PHI,113.08,4
Isaiah Likely,TE,119,NYG,105.59,4
Baker Mayfield,QB,120,TB,226.47,5
KC Concepcion,WR,121,CLE,107.17,5
Kyler Murray,QB,122,MIN,222.37,5
Jordan Love,QB,123,GB,213.18,6
Chris Rodriguez,RB,124,JAC,78.39,8
Mark Andrews,TE,125,BAL,106.19,4
Xavier Worthy,WR,126,KC,101.42,5
Tyler Shough,QB,127,NO,218.93,5
Jalen Coker,WR,128,CAR,94.44,6
Matthew Golden,WR,129,GB,98.1,6
Woody Marks,RB,130,HOU,86.28,7
Tyler Allgeier,RB,131,ARI,71.67,8
Jake Ferguson,TE,132,DAL,101.47,5
Khalil Shakir,WR,133,BUF,93.97,6
Jordyn Tyson,WR,134,NO,89.53,6
Romeo Doubs,WR,135,NE,97.15,6
Tyjae Spears,RB,136,TEN,85.45,7
Malik Willis,QB,137,MIA,208.31,6
Deebo Samuel,WR,138,SF,99.58,6
