Player,Pos,Rank,Team
Jahmyr Gibbs,RB,1,DET
Bijan Robinson,RB,2,ATL
Ja'Marr Chase,WR,3,CIN
Puka Nacua,WR,4,LAR
Jaxon Smith-Njigba,WR,5,SEA
Amon-Ra St. Brown,WR,6,DET
Christian McCaffrey,RB,7,SF
Jonathan Taylor,RB,8,IND
CeeDee Lamb,WR,9,DAL
James Cook,RB,10,BUF
Justin Jefferson,WR,11,MIN
Chase Brown,RB,12,CIN
Drake London,WR,13,ATL
Saquon Barkley,RB,14,PHI
A.J. Brown,WR,15,NE
De'Von Achane,RB,16,MIA
Nico Collins,WR,17,HOU
Brock Bowers,TE,18,LV
Omarion Hampton,RB,19,LAC
Ashton Jeanty,RB,20,LV
Derrick Henry,RB,21,BAL
Kenneth Walker,RB,22,KC
George Pickens,WR,23,DAL
Chris Olave,WR,24,NO
Trey McBride,TE,25,ARI
Josh Allen,QB,26,BUF
Malik Nabers,WR,27,NYG
Rashee Rice,WR,28,KC
DeVonta Smith,WR,29,PHI
Zay Flowers,WR,30,BAL
Kyren Williams,RB,31,LAR
Tee Higgins,WR,32,CIN
Javonte Williams,RB,33,DAL
Breece Hall,RB,34,NYJ
Tetairoa McMillan,WR,35,CAR
Lamar Jackson,QB,36,BAL
Josh Jacobs,RB,37,GB
Garrett Wilson,WR,38,NYJ
Ladd McConkey,WR,39,LAC
Jaylen Waddle,WR,40,DEN
Emeka Egbuka,WR,41,TB
Colston Loveland,TE,42,CHI
Jeremiyah Love,RB,43,ARI
Drake Maye,QB,44,NE
Travis Etienne,RB,45,NO
Terry McLaurin,WR,46,WAS
Davante Adams,WR,47,LAR
D'Andre Swift,RB,48,CHI
Joe Burrow,QB,49,CIN
Luther Burden,WR,50,CHI
Cam Skattebo,RB,51,NYG
Jameson Williams,WR,52,DET
Tyler Warren,TE,53,IND
Bucky Irving,RB,54,TB
Quinshon Judkins,RB,55,CLE
David Montgomery,RB,56,HOU
DJ Moore,WR,57,BUF
Christian Watson,WR,58,GB
Jayden Daniels,QB,59,WAS
Mike Evans,WR,60,SF
Rome Odunze,WR,61,CHI
Jalen Hurts,QB,62,PHI
Bhayshul Tuten,RB,63,JAC
TreVeyon Henderson,RB,64,NE
Jadarian Price,RB,65,SEA
Parker Washington,WR,66,JAC
Caleb Williams,QB,67,CHI
Tucker Kraft,TE,68,GB
Marvin Harrison,WR,69,ARI
Rhamondre Stevenson,RB,70,NE
Justin Herbert,QB,71,LAC
Jaylen Warren,RB,72,PIT
Carnell Tate,WR,73,TEN
Trevor Lawrence,QB,74,JAC
